name,direction,width
SAXIGP0RRESP,o,2
SAXIGP1BRESP,o,2
SAXIGP1RRESP,o,2
SAXIHP0BRESP,o,2
SAXIHP0RRESP,o,2
SAXIHP1BRESP,o,2
SAXIHP1RRESP,o,2
SAXIHP2BRESP,o,2
SAXIHP2RRESP,o,2
SAXIHP3BRESP,o,2
SAXIHP3RRESP,o,2
IRQP2F,o,2
EMIOSDIO0BUSVOLT,o,29
EMIOSDIO1BUSVOLT,o,3
EMIOSPI0SSON,o,3
EMIOSPI1SSON,o,3
EMIOTTC0WAVEO,o,3
EMIOTTC1WAVEO,o,3
MAXIGP0ARPROT,o,3
MAXIGP0AWPROT,o,3
MAXIGP1ARPROT,o,3
MAXIGP1AWPROT,o,3
SAXIACPBID,o,3
SAXIACPRID,o,3
SAXIHP0RACOUNT,o,3
SAXIHP1RACOUNT,o,3
SAXIHP2RACOUNT,o,3
SAXIHP3RACOUNT,o,3
EMIOTRACEDATA,o,3
FTMTP2FDEBUG,o,32
MAXIGP0ARADDR,o,32
MAXIGP0AWADDR,o,32
MAXIGP0WDATA,o,32
MAXIGP1ARADDR,o,32
MAXIGP1AWADDR,o,32
MAXIGP1WDATA,o,32
SAXIGP0RDATA,o,32
SAXIGP1RDATA,o,32
EMIOSDIO0DATAO,o,32
EMIOSDIO0DATATN,o,4
EMIOSDIO1DATAO,o,4
EMIOSDIO1DATATN,o,4
FCLKCLK,o,4
FCLKRESETN,o,4
FTMTF2PTRIGACK,o,4
FTMTP2FTRIG,o,4
MAXIGP0ARCACHE,o,4
MAXIGP0ARLEN,o,4
MAXIGP0ARQOS,o,4
MAXIGP0AWCACHE,o,4
MAXIGP0AWLEN,o,4
MAXIGP0AWQOS,o,4
MAXIGP0WSTRB,o,4
MAXIGP1ARCACHE,o,4
MAXIGP1ARLEN,o,4
MAXIGP1ARQOS,o,4
MAXIGP1AWCACHE,o,4
MAXIGP1AWLEN,o,4
MAXIGP1AWQOS,o,4
MAXIGP1WSTRB,o,4
SAXIGP0BID,o,6
SAXIGP0RID,o,6
SAXIGP1BID,o,6
SAXIGP1RID,o,6
SAXIHP0BID,o,6
SAXIHP0RID,o,6
SAXIHP0WACOUNT,o,6
SAXIHP1BID,o,6
SAXIHP1RID,o,6
SAXIHP1WACOUNT,o,6
SAXIHP2BID,o,6
SAXIHP2RID,o,6
SAXIHP2WACOUNT,o,6
SAXIHP3BID,o,6
SAXIHP3RID,o,6
SAXIHP3WACOUNT,o,6
EMIOGPIOO,o,6
EMIOGPIOTN,o,64
SAXIACPRDATA,o,64
SAXIHP0RDATA,o,64
SAXIHP1RDATA,o,64
SAXIHP2RDATA,o,64
SAXIHP3RDATA,o,64
EMIOENET0GMIITXD,o,64
